"population","treatment","voc","trait","r","p","n","significance"
"Bon","Control","voc5","flower_time1",0.859336474802131,0.00298700197978333,9,"**"
"Bon","Control","voc6","flower_time1",0.411962138090284,0.270571148922988,9,""
"Bon","Control","voc7","flower_time1",0.452823586314292,0.220962061057238,9,""
"Bon","Control","voc8","flower_time1",0.557197914608264,0.11910325276559,9,""
"Bon","Control","voc9","flower_time1",0.700107642651727,0.0357288576204285,9,"*"
"Bon","Control","voc10","flower_time1",0.344666245923608,0.363698693413191,9,""
"Bon","Control","voc11","flower_time1",0.371820865047944,0.324461239593621,9,""
"Bon","Control","voc12","flower_time1",0.401484008855289,0.284153476488102,9,""
"Bon","Control","voc13","flower_time1",0.466388875613344,0.205692726316831,9,""
"Bon","Control","voc14","flower_time1",0.483089918032216,0.187724930051179,9,""
"Bon","Control","voc15","flower_time1",0.383222477347695,0.30864707756978,9,""
"Bon","Control","voc16","flower_time1",0.706986739714139,0.0331887487316644,9,"*"
"Bon","Control","voc17","flower_time1",0.404307506706334,0.28045939816732,9,""
"Bon","Control","total","flower_time1",0.507335258847337,0.163280198686911,9,""
"Bon","Herbivore-induced","voc1","flower_time1",0.136476452101594,0.726251774674129,9,""
"Bon","Herbivore-induced","voc2","flower_time1",0.203400988928514,0.599656171005389,9,""
"Bon","Herbivore-induced","voc3","flower_time1",0.198546917983321,0.608576288867622,9,""
"Bon","Herbivore-induced","voc4","flower_time1",0.103144630800782,0.791729472855627,9,""
"Bon","Herbivore-induced","voc5","flower_time1",0.198636884878075,0.608410549569246,9,""
"Bon","Herbivore-induced","voc6","flower_time1",-0.0068772957697225,0.985990240299556,9,""
"Bon","Herbivore-induced","voc7","flower_time1",0.142265664799844,0.715022556388985,9,""
"Bon","Herbivore-induced","voc8","flower_time1",0.260384446635733,0.498612689349239,9,""
"Bon","Herbivore-induced","voc9","flower_time1",-0.125999036186769,0.746688522635205,9,""
"Bon","Herbivore-induced","voc10","flower_time1",0.203577194362495,0.599333221880915,9,""
"Bon","Herbivore-induced","voc11","flower_time1",0.0186916268918435,0.961932815024801,9,""
"Bon","Herbivore-induced","voc12","flower_time1",0.227148781012492,0.556693841372634,9,""
"Bon","Herbivore-induced","voc13","flower_time1",0.0863414925146081,0.825195609866727,9,""
"Bon","Herbivore-induced","voc14","flower_time1",0.0709552792929545,0.856056179990287,9,""
"Bon","Herbivore-induced","voc15","flower_time1",0.197280995369467,0.610910034872924,9,""
"Bon","Herbivore-induced","voc16","flower_time1",0.0793175942104601,0.83926027181961,9,""
"Bon","Herbivore-induced","voc17","flower_time1",0.017183928924938,0.965001800535485,9,""
"Bon","Herbivore-induced","total","flower_time1",0.168646432354395,0.664475367031678,9,""
"Bon","Control","voc1","flower_time2",-0.0346383272834701,0.919467503303347,11,""
"Bon","Control","voc2","flower_time2",-0.359913119300245,0.276942969972323,11,""
"Bon","Control","voc3","flower_time2",-0.335944116113915,0.312466274858311,11,""
"Bon","Control","voc4","flower_time2",-0.0785193658058891,0.818499323067924,11,""
"Bon","Control","voc5","flower_time2",0.110053779664851,0.747359629095419,11,""
"Bon","Control","voc6","flower_time2",-0.15309344459316,0.653142778007191,11,""
"Bon","Control","voc7","flower_time2",-0.307955564897655,0.35689098185002,11,""
"Bon","Control","voc8","flower_time2",-0.294894031821105,0.378678971474832,11,""
"Bon","Control","voc9","flower_time2",0.129258936134845,0.704851168119405,11,""
"Bon","Control","voc10","flower_time2",-0.446802935473108,0.168288851914665,11,""
"Bon","Control","voc11","flower_time2",-0.329254761487299,0.322798777764755,11,""
"Bon","Control","voc12","flower_time2",0.0208521994871769,0.951476331737018,11,""
"Bon","Control","voc13","flower_time2",-0.222256584423903,0.511276391070882,11,""
"Bon","Control","voc14","flower_time2",-0.123565256853736,0.717380413803338,11,""
"Bon","Control","voc15","flower_time2",-0.160463077378246,0.637416229179791,11,""
"Bon","Control","voc16","flower_time2",0.0732615551093982,0.830495527546384,11,""
"Bon","Control","voc17","flower_time2",-0.20639351038641,0.542602506750463,11,""
"Bon","Control","total","flower_time2",-0.0209817787019952,0.951175105913647,11,""
"Bon","Herbivore-induced","voc1","flower_time2",-0.281194954374755,0.402231752247136,11,""
"Bon","Herbivore-induced","voc2","flower_time2",-0.535180520491304,0.089796272753807,11,""
"Bon","Herbivore-induced","voc3","flower_time2",-0.380357326782709,0.248523412372092,11,""
"Bon","Herbivore-induced","voc4","flower_time2",-0.189341895396248,0.577120779097738,11,""
"Bon","Herbivore-induced","voc5","flower_time2",0.243896579237336,0.469844794896212,11,""
"Bon","Herbivore-induced","voc6","flower_time2",-0.510428416632552,0.108650987893837,11,""
"Bon","Herbivore-induced","voc7","flower_time2",-0.55999464238222,0.0731999375462033,11,""
"Bon","Herbivore-induced","voc8","flower_time2",-0.34893866391379,0.292914805925969,11,""
"Bon","Herbivore-induced","voc9","flower_time2",0.15791796569984,0.64283264041545,11,""
"Bon","Herbivore-induced","voc10","flower_time2",-0.608663371046333,0.0468924631725159,11,"*"
"Bon","Herbivore-induced","voc11","flower_time2",-0.431922466802851,0.184643013544206,11,""
"Bon","Herbivore-induced","voc12","flower_time2",0.0130403352687446,0.969645390694402,11,""
"Bon","Herbivore-induced","voc13","flower_time2",-0.457787068092385,0.156809992861579,11,""
"Bon","Herbivore-induced","voc14","flower_time2",-0.308892586219584,0.355353426220595,11,""
"Bon","Herbivore-induced","voc15","flower_time2",-0.411858860246765,0.208166561645455,11,""
"Bon","Herbivore-induced","voc16","flower_time2",0.0934578453181974,0.784613339051027,11,""
"Bon","Herbivore-induced","voc17","flower_time2",-0.378319558746748,0.251277746356531,11,""
"Bon","Herbivore-induced","total","flower_time2",-0.269746034940014,0.422453499689307,11,""
