ID;population;Gen;Treat;H_E;GLVs;Monoterpenes;Aromatic compounds ;Long-chain alkanes;Alcohols and esters;GLVsg;Monoterpenesg;Aromatic compoundsg;Long-chain alkanesg;Alcohols and estersg
B28o3;B;28;c;3;5.554476572;1.353466295;;1.647763891;0.870199007;5.555476572;1.354466295;;1.648763891;0.871199007
B30o1;B;30;c;3;0.617018688;1.162097639;;1.019142402;0.498232652;0.618018688;1.163097639;;1.020142402;0.499232652
B30o2;B;30;c;4;0.029567097;0.047947559;;0.02840821;0;0.030567097;0.048947559;;0.02940821;0.001
B30o3;B;30;c;4;1.592253783;0;;0.51754622;0;1.593253783;0.001;;0.51854622;0.001
B37o1;B;37;c;3;0.211753732;0.184419442;;0.137821294;0;0.212753732;0.185419442;;0.138821294;0.001
B37o2;B;37;c;3;0.361454368;0.289010577;;0.120115657;0.055228003;0.362454368;0.290010577;;0.121115657;0.056228003
B37o3;B;37;c;3;0.269488176;0.352703364;;0.252806828;0.217739068;0.270488176;0.353703364;;0.253806828;0.218739068
B53o1;B;53;c;4;8.340160273;7.296119641;;3.860386799;1.977168699;8.341160273;7.297119641;;3.861386799;1.978168699
B53o2;B;53;c;3;0.761413467;0.630792293;;0.59399661;0.341912655;0.762413467;0.631792293;;0.59499661;0.342912655
B53o3;B;53;c;3;2.990155515;0.420242127;;0.446699514;0.243579579;2.991155515;0.421242127;;0.447699514;0.244579579
B56o2;B;56;c;3;1.211874278;0.552587403;;1.283082331;0.555905291;1.212874278;0.553587403;;1.284082331;0.556905291
B56o3;B;56;c;3;1.7245291;1.855095777;;1.218994855;0.506528134;1.7255291;1.856095777;;1.219994855;0.507528134
B57o1;B;57;c;4;2.454942953;22.17074879;;7.351352736;0.073802692;2.455942953;22.17174879;;7.352352736;0.074802692
B57o2;B;57;c;4;1.005699371;3.259812397;;8.737446496;0.335850453;1.006699371;3.260812397;;8.738446496;0.336850453
B57o3;B;57;c;4;2.541759314;11.75600275;;7.034968727;1.816886088;2.542759314;11.75700275;;7.035968727;1.817886088
B60o1;B;60;c;3;3.971973775;17.17685443;;4.162887638;2.129550531;3.972973775;17.17785443;;4.163887638;2.130550531
B60o3;B;60;c;3;0.061549791;0.056194304;;0.064614077;0.082157185;0.062549791;0.057194304;;0.065614077;0.083157185
B61o1;B;61;c;3;8.613686308;11.40759465;;15.48951893;3.975223456;8.614686308;11.40859465;;15.49051893;3.976223456
B61o2;B;61;c;3;5.788591305;17.46425814;;9.049051395;5.089375074;5.789591305;17.46525814;;9.050051395;5.090375074
B61o3;B;61;c;3;0.944726098;0.82042176;;1.236641593;1.215837378;0.945726098;0.82142176;;1.237641593;1.216837378
B3h1;B;3;h;3;0.329492884;0.519668503;;0.229743806;0;0.330492884;0.520668503;;0.230743806;0.001
B3h2;B;3;h;3;1.834341726;3.101094127;;2.395045289;0.470753231;1.835341726;3.102094127;;2.396045289;0.471753231
B3h3;B;3;h;3;2.670044521;6.041621686;;1.890161932;1.124203144;2.671044521;6.042621686;;1.891161932;1.125203144
B14h1;B;14;h;3;2.210282214;1.039122692;;1.878597204;0.81010811;2.211282214;1.040122692;;1.879597204;0.81110811
B14h2;B;14;h;4;2.166408971;0.956336191;;1.080543426;0.447823602;2.167408971;0.957336191;;1.081543426;0.448823602
B14h3;B;14;h;3;1.563611927;0.818683369;;1.530786194;0;1.564611927;0.819683369;;1.531786194;0.001
B24h1;B;24;h;3;5.002307619;16.44864117;;6.60789549;2.809354439;5.003307619;16.44964117;;6.60889549;2.810354439
B24h2;B;24;h;3;2.002962788;10.41325789;;2.787111478;1.23603285;2.003962788;10.41425789;;2.788111478;1.23703285
B24h3;B;24;h;3;2.897438727;12.41073057;;3.524774178;1.839629858;2.898438727;12.41173057;;3.525774178;1.840629858
B28h1;B;28;h;3;4.293014608;3.125689833;;10.91647632;3.188844622;4.294014608;3.126689833;;10.91747632;3.189844622
B28h2;B;28;h;3;2.344277872;0.963098655;;6.293088355;1.235419405;2.345277872;0.964098655;;6.294088355;1.236419405
